pop,taxa,sp,reg2,latN,lonW,MedianRgbHex,medRed,medGreen,medBlue,ModeRgbHex
CHCL,PC,C,C,31.82479,-99.55632,#f8dd32,248,221,50,#fbe432
CLA,PC,C,C,33.75562,-98.3829,#f8dc30,248,220.5,48.5,#f8e432
CMSC,PC,C,C,34.73168,-98.56844,#f2e433,241.5,228,51,#f8db32
CQL,PC,C,C,33.20647,-98.15727,#f8e432,248,228,50,#fbe432
LMN,PC,L,L,31.33261,-97.46821,#f86813,248,104,19,#ff6a11
LRR,PC,L,L,30.61922,-98.07169,#f65120,246,81,32,#ff6328
LVH,PC,L,L,30.2759,-97.8971,#f13918,241,57,24,#f84423
PCM,PC,P,P,33.31087,-96.24411,#c52c7b,197,44,123,#cd2c7b
PMT,PC,P,P,31.88892,-97.69912,#d23868,210.5,56.5,104,#d83151
PTH,PC,P,P,32.74596,-97.27286,#bc398d,188,57,141,#ac3a8f
PTMS,PC,P,P,36.1815,-95.8168383,#b5266e,181,37.5,110.5,#9f1b4c
SBL,S,S,wS,33.34243,-104.333,#e2a06a,225.5,159.5,106,#95ab46
SCL,S,S,wS,33.5655,-101.80032,#f8a083,248,159.5,131,#ff755d
SDC,S,S,wS,37.75643,-103.59391,#f89788,248,151,136,#ffaca1
SFP,S,S,nS,47.05173,-96.427291,#80962d,128,150,45,#80962d
SIC,S,S,sS,30.486035,-101.7882521,#df6098,223,95.5,151.5,#df5a8d
SILB,S,S,nS,42.44124,-87.80295,#b9d06a,185,208,106.5,#80962d
SMP,S,S,sS,32.2852116,-100.7884505,#ecdc32,236,220,50,#ffdc5a
SNG,S,S,nS,41.87068,-89.34495,#d5dea1,213,222.5,161,#f2e9bb
SPB,S,S,wS,40.8050587,-104.0132563,#f69186,246,145,134,#ff4f4f
SRS,S,S,nS,45.57049,-106.14788,#fcac9c,252,172,155.5,#ffa29c
SSC,S,S,nS,44.55531,-92.59423,#b3c171,179,193,113,#b9c171
SYH,S,S,sS,32.03469,-104.4479,#f27a6c,242,122,108,#f27a6c
